EquipmentIDChar,EquipmentIDNum,EquipmentName,Description,Status,Location
,APM078,Ammeter,Fluke Clamp,Checked Out,Out
,APM079,Ammeter,Fluke Clamp,Available,Secondary
,APM080,Ammeter,Fluke Clamp,Checked Out,Out
,APM081,Ammeter,Fluke Clamp,Available,Primary
,APM082,Ammeter,Fluke Clamp,Available,Secondary
,APM083,Ammeter,Fluke Clamp,Available,Primary
,APM084,Ammeter,Fluke Clamp,Checked Out,Out
,APM085,Ammeter,Fluke Clamp,Available,Primary
,APM086,Ammeter,Fluke Clamp,Checked Out,Out
,APM087,Ammeter,Fluke Clamp,Checked Out,Out
,APM088,Ammeter,Fluke Clamp,Checked Out,Out
,APM089,Ammeter,Fluke Clamp,Checked Out,Out
,APM090,Ammeter,Fluke Clamp,Checked Out,Out
,APM091,Ammeter,Fluke Clamp,Available,Primary
,APM092,Ammeter,Fluke Clamp,Checked Out,Out
,APM093,Ammeter,Fluke Clamp,Available,Primary
,APM094,Ammeter,Fluke Clamp,Checked Out,Out
,APM095,Ammeter,Fluke Clamp,Available,Primary
,APM096,Ammeter,Fluke Clamp,Checked Out,Out
,APM097,Ammeter,Fluke Clamp,Available,Primary
,APM098,Ammeter,Fluke Clamp,Available,Primary
,APM099,Ammeter,Fluke Clamp,Available,Secondary
,APM100,Ammeter,Fluke Clamp,Checked Out,Out
,APM101,Ammeter,Fluke Clamp,Available,Secondary
,APM102,Ammeter,Fluke Clamp,Checked Out,Out
,APM103,Ammeter,Fluke Clamp,Checked Out,Out
,APM104,Ammeter,Fluke Clamp,Available,Primary
,APM105,Ammeter,Fluke Clamp,Checked Out,Out
,APM106,Ammeter,Fluke Clamp,Checked Out,Out
,APM107,Ammeter,Fluke Clamp,Available,Primary
,APM108,Ammeter,Fluke Clamp,Available,Secondary
,APM109,Ammeter,Fluke Clamp,Checked Out,Out
,APM110,Ammeter,Fluke Clamp,Checked Out,Out
,APM111,Ammeter,Fluke Clamp,Available,Secondary
,APM112,Ammeter,Fluke Clamp,Checked Out,Out
,APM113,Ammeter,Fluke Clamp,Checked Out,Out
,APM114,Ammeter,Fluke Clamp,Available,Secondary
,APM115,Ammeter,Fluke Clamp,Checked Out,Out
,APM116,Ammeter,Fluke Clamp,Available,Secondary
,APM117,Ammeter,Fluke Clamp,Checked Out,Out
,APM118,Ammeter,Fluke Clamp,Available,Secondary
,APM119,Ammeter,Fluke Clamp,Available,Primary
,APM120,Ammeter,Fluke Clamp,Checked Out,Out
,APM121,Ammeter,Fluke Clamp,Available,Primary
,APM122,Ammeter,Fluke Clamp,Available,Secondary
,APM123,Ammeter,Fluke Clamp,Available,Primary
,APM124,Ammeter,Fluke Clamp,Checked Out,Out
,APM125,Ammeter,Fluke Clamp,Available,Secondary
,APM126,Ammeter,Fluke Clamp,Available,Secondary
,APM127,Ammeter,Fluke Clamp,Checked Out,Out
,APM128,Ammeter,Fluke Clamp,Available,Primary
,APM129,Ammeter,Fluke Clamp,Checked Out,Out
,APM130,Ammeter,Fluke Clamp,Available,Secondary
,APM131,Ammeter,Fluke Clamp,Available,Primary
,APM132,Ammeter,Fluke Clamp,Available,Primary
,APM133,Ammeter,Fluke Clamp,Available,Primary
,APM134,Ammeter,Fluke Clamp,Checked Out,Out
,APM135,Ammeter,Fluke Clamp,Checked Out,Out
,APM136,Ammeter,Fluke Clamp,Available,Primary
,APM137,Ammeter,Fluke Clamp,Checked Out,Out
,APM138,Ammeter,Fluke Clamp,Checked Out,Out
,APM139,Ammeter,Fluke Clamp,Available,Primary
,APM140,Ammeter,Fluke Clamp,Checked Out,Out
,APM141,Ammeter,Fluke Clamp,Available,Primary
,APM142,Ammeter,Fluke Clamp,Available,Primary
,APM143,Ammeter,Fluke Clamp,Checked Out,Out
,APM144,Ammeter,Fluke Clamp,Available,Secondary
,APM145,Ammeter,Fluke Clamp,Checked Out,Out
,APM146,Ammeter,Fluke Clamp,Checked Out,Out
,APM147,Ammeter,Fluke Clamp,Checked Out,Out
,APM148,Ammeter,Fluke Clamp,Checked Out,Out
,APM149,Ammeter,Fluke Clamp,Available,Secondary
,APM150,Ammeter,Fluke Clamp,Checked Out,Out
,APM151,Ammeter,Fluke Clamp,Available,Secondary
,APM152,Ammeter,Fluke Clamp,Available,Secondary
,APM153,Ammeter,Fluke Clamp,Checked Out,Out
,APM154,Ammeter,Fluke Clamp,Available,Primary
,APM155,Ammeter,Fluke Clamp,Available,Primary
,APM156,Ammeter,Fluke Clamp,Checked Out,Out
,APM157,Ammeter,Fluke Clamp,Checked Out,Out
,APM158,Ammeter,Fluke Clamp,Available,Secondary
,APM159,Ammeter,Fluke Clamp,Checked Out,Out
,APM160,Ammeter,Fluke Clamp,Available,Secondary
,APM161,Ammeter,Fluke Clamp,Checked Out,Out
,APM162,Ammeter,Fluke Clamp,Available,Secondary
,APM163,Ammeter,Fluke Clamp,Available,Primary
,APM164,Ammeter,Fluke Clamp,Available,Secondary
,APM165,Ammeter,Fluke Clamp,Checked Out,Out
,APM166,Ammeter,Fluke Clamp,Checked Out,Out
,APM167,Ammeter,Fluke Clamp,Checked Out,Out
,APM168,Ammeter,Fluke Clamp,Checked Out,Out
,APM169,Ammeter,Fluke Clamp,Checked Out,Out
,APM170,Ammeter,Fluke Clamp,Checked Out,Out
,APM171,Ammeter,Fluke Clamp,Checked Out,Out
,APM172,Ammeter,Fluke Clamp,Checked Out,Out
,APM173,Ammeter,Fluke Clamp,Available,Primary
,APM174,Ammeter,Fluke Clamp,Checked Out,Out
,APM175,Ammeter,Fluke Clamp,Checked Out,Out
,APM176,Ammeter,Fluke Clamp,Checked Out,Out
,APM177,Ammeter,Fluke Clamp,Checked Out,Out
,APM178,Ammeter,Fluke Clamp,Checked Out,Out
,APM179,Ammeter,Fluke Clamp,Checked Out,Out
,APM180,Ammeter,Fluke Clamp,Available,Secondary
,APM181,Ammeter,Fluke Clamp,Available,Secondary
,APM182,Ammeter,Fluke Clamp,Checked Out,Out
,APM183,Ammeter,Fluke Clamp,Checked Out,Out
,APM184,Ammeter,Fluke Clamp,Checked Out,Out
,APM185,Ammeter,Fluke Clamp,Available,Secondary
,APM186,Ammeter,Fluke Clamp,Checked Out,Out
,APM187,Ammeter,Fluke Clamp,Available,Primary
,APM188,Ammeter,Fluke Clamp,Available,Primary
,APM189,Ammeter,Fluke Clamp,Available,Primary
,APM190,Ammeter,Fluke Clamp,Checked Out,Out
,APM191,Ammeter,Fluke Clamp,Checked Out,Out
,APM192,Ammeter,Fluke Clamp,Checked Out,Out
,APM193,Ammeter,Fluke Clamp,Available,Secondary
,APM194,Ammeter,Fluke Clamp,Available,Secondary
,APM195,Ammeter,Fluke Clamp,Available,Secondary
,APM196,Ammeter,Fluke Clamp,Checked Out,Out
,APM197,Ammeter,Fluke Clamp,Available,Secondary
,APM198,Ammeter,Fluke Clamp,Checked Out,Out
,APM199,Ammeter,Fluke Clamp,Checked Out,Out
,APM200,Ammeter,Fluke Clamp,Available,Secondary
,APM201,Ammeter,Fluke Clamp,Checked Out,Out
,APM202,Ammeter,Fluke Clamp,Available,Secondary
,APM203,Ammeter,Fluke Clamp,Checked Out,Out
,APM204,Ammeter,Fluke Clamp,Checked Out,Out
,APM205,Ammeter,Fluke Clamp,Available,Primary
,APM206,Ammeter,Fluke Clamp,Checked Out,Out
,APM207,Ammeter,Fluke Clamp,Available,Primary
,APM208,Ammeter,Fluke Clamp,Available,Secondary
,APM209,Ammeter,Fluke Clamp,Available,Secondary
,APM210,Ammeter,Fluke Clamp,Available,Secondary
,APM211,Ammeter,Fluke Clamp,Checked Out,Out
,APM212,Ammeter,Fluke Clamp,Available,Primary
,APM213,Ammeter,Fluke Clamp,Available,Primary
,APM214,Ammeter,Fluke Clamp,Available,Secondary
,APM215,Ammeter,Fluke Clamp,Checked Out,Out
,APM216,Ammeter,Fluke Clamp,Available,Primary
,APM217,Ammeter,Fluke Clamp,Checked Out,Out
,APM218,Ammeter,Fluke Clamp,Checked Out,Out
,APM219,Ammeter,Fluke Clamp,Available,Secondary
,APM220,Ammeter,Fluke Clamp,Available,Secondary
,APM221,Ammeter,Fluke Clamp,Checked Out,Out
,APM222,Ammeter,Fluke Clamp,Checked Out,Out
,APM223,Ammeter,Fluke Clamp,Checked Out,Out
,APM224,Ammeter,Fluke Clamp,Checked Out,Out
,APM225,Ammeter,Fluke Clamp,Available,Primary
,APM226,Ammeter,Fluke Clamp,Checked Out,Out
,APM227,Ammeter,Fluke Clamp,Available,Primary
,APM228,Ammeter,Fluke Clamp,Available,Primary
,APM229,Ammeter,Fluke Clamp,Checked Out,Out
,APM230,Ammeter,Fluke Clamp,Checked Out,Out
,APM231,Ammeter,Fluke Clamp,Checked Out,Out
,APM232,Ammeter,Fluke Clamp,Available,Secondary
,APM233,Ammeter,Fluke Clamp,Checked Out,Out
,APM234,Ammeter,Fluke Clamp,Checked Out,Out
,APM235,Ammeter,Fluke Clamp,Available,Primary
,APM236,Ammeter,Fluke Clamp,Checked Out,Out
,APM237,Ammeter,Fluke Clamp,Available,Primary
,APM238,Ammeter,Fluke Clamp,Available,Primary
,APM239,Ammeter,Fluke Clamp,Checked Out,Out
,APM240,Ammeter,Fluke Clamp,Available,Secondary
,APM241,Ammeter,Fluke Clamp,Checked Out,Out
,APM242,Ammeter,Fluke Clamp,Available,Primary
,APM243,Ammeter,Fluke Clamp,Available,Secondary
,APM244,Ammeter,Fluke Clamp,Available,Primary
,APM245,Ammeter,Fluke Clamp,Checked Out,Out
,APM246,Ammeter,Fluke Clamp,Available,Primary
,APM247,Ammeter,Fluke Clamp,Available,Primary
,APM248,Ammeter,Fluke Clamp,Checked Out,Out
,APM249,Ammeter,Fluke Clamp,Checked Out,Out
,APM250,Ammeter,Fluke Clamp,Available,Primary
,APM251,Ammeter,Fluke Clamp,Available,Secondary
,APM252,Ammeter,Fluke Clamp,Checked Out,Out
,APM253,Ammeter,Fluke Clamp,Available,Primary
,APM254,Ammeter,Fluke Clamp,Checked Out,Out
,APM255,Ammeter,Fluke Clamp,Checked Out,Out
,APM256,Ammeter,Fluke Clamp,Checked Out,Out
,APM257,Ammeter,Fluke Clamp,Checked Out,Out
,APM258,Ammeter,Fluke Clamp,Checked Out,Out
,APM259,Ammeter,Fluke Clamp,Available,Secondary
,APM260,Ammeter,Fluke Clamp,Checked Out,Out
,APM261,Ammeter,Fluke Clamp,Checked Out,Out
,APM262,Ammeter,Fluke Clamp,Checked Out,Out
,APM263,Ammeter,Fluke Clamp,Available,Primary
,APM264,Ammeter,Fluke Clamp,Available,Primary
,APM265,Ammeter,Fluke Clamp,Available,Secondary
,APM266,Ammeter,Fluke Clamp,Checked Out,Out
,APM267,Ammeter,Fluke Clamp,Checked Out,Out
,APM268,Ammeter,Fluke Clamp,Checked Out,Out
,APM269,Ammeter,Fluke Clamp,Checked Out,Out
,APM270,Ammeter,Fluke Clamp,Checked Out,Out
,APM271,Ammeter,Fluke Clamp,Checked Out,Out
,APM272,Ammeter,Fluke Clamp,Checked Out,Out
,APM273,Ammeter,Fluke Clamp,Checked Out,Out
,APM274,Ammeter,Fluke Clamp,Available,Primary
,APM275,Ammeter,Fluke Clamp,Available,Primary
,APM276,Ammeter,Fluke Clamp,Checked Out,Out
,APM277,Ammeter,Fluke Clamp,Available,Secondary
,APM278,Ammeter,Fluke Clamp,Available,Primary
,APM279,Ammeter,Fluke Clamp,Checked Out,Out
,APM280,Ammeter,Fluke Clamp,Checked Out,Out
,APM281,Ammeter,Fluke Clamp,Checked Out,Out
,APM282,Ammeter,Fluke Clamp,Checked Out,Out
,APM283,Ammeter,Fluke Clamp,Checked Out,Out
,APM284,Ammeter,Fluke Clamp,Checked Out,Out
,APM285,Ammeter,Fluke Clamp,Available,Secondary
,APM286,Ammeter,Fluke Clamp,Checked Out,Out
,APM287,Ammeter,Fluke Clamp,Available,Primary
,APM288,Ammeter,Fluke Clamp,Available,Primary
,APM289,Ammeter,Fluke Clamp,Available,Secondary
,APM290,Ammeter,Fluke Clamp,Available,Primary
,APM291,Ammeter,Fluke Clamp,Available,Primary
,APM292,Ammeter,Fluke Clamp,Checked Out,Out
,APM293,Ammeter,Fluke Clamp,Checked Out,Out
,APM294,Ammeter,Fluke Clamp,Available,Secondary
,APM295,Ammeter,Fluke Clamp,Available,Primary
,APM296,Ammeter,Fluke Clamp,Checked Out,Out
,APM297,Ammeter,Fluke Clamp,Checked Out,Out
,APM298,Ammeter,Fluke Clamp,Checked Out,Out
,APM299,Ammeter,Fluke Clamp,Checked Out,Out
,APM300,Ammeter,Fluke Clamp,Checked Out,Out
,APM301,Ammeter,Fluke Clamp,Checked Out,Out
,APM302,Ammeter,Fluke Clamp,Available,Secondary
,APM303,Ammeter,Fluke Clamp,Checked Out,Out
,APM304,Ammeter,Fluke Clamp,Available,Primary
,APM305,Ammeter,Fluke Clamp,Available,Secondary
,APM306,Ammeter,Fluke Clamp,Checked Out,Out
,APM307,Ammeter,Fluke Clamp,Available,Primary
,APM308,Ammeter,Fluke Clamp,Checked Out,Out
,APM309,Ammeter,Fluke Clamp,Checked Out,Out
,APM310,Ammeter,Fluke Clamp,Checked Out,Out
,APM311,Ammeter,Fluke Clamp,Checked Out,Out
,APM312,Ammeter,Fluke Clamp,Available,Secondary
,APM313,Ammeter,Fluke Clamp,Available,Secondary
,APM314,Ammeter,Fluke Clamp,Available,Secondary
,APM315,Ammeter,Fluke Clamp,Checked Out,Out
,APM316,Ammeter,Fluke Clamp,Available,Secondary
,APM317,Ammeter,Fluke Clamp,Checked Out,Out
,APM318,Ammeter,Fluke Clamp,Checked Out,Out
,APM319,Ammeter,Fluke Clamp,Available,Primary
,APM320,Ammeter,Fluke Clamp,Available,Primary
,APM321,Ammeter,Fluke Clamp,Checked Out,Out
,APM322,Ammeter,Fluke Clamp,Available,Primary
,APM323,Ammeter,Fluke Clamp,Available,Secondary
,APM324,Ammeter,Fluke Clamp,Checked Out,Out
,APM325,Ammeter,Fluke Clamp,Checked Out,Out
,APM326,Ammeter,Fluke Clamp,Checked Out,Out
,APM327,Ammeter,Fluke Clamp,Available,Secondary
,APM328,Ammeter,Fluke Clamp,Available,Secondary
,APM329,Ammeter,Fluke Clamp,Available,Primary
,APM330,Ammeter,Fluke Clamp,Available,Secondary
,APM331,Ammeter,Fluke Clamp,Available,Primary
,APM332,Ammeter,Fluke Clamp,Checked Out,Out
,APM333,Ammeter,Fluke Clamp,Available,Secondary
,APM334,Ammeter,Fluke Clamp,Checked Out,Out
,APM335,Ammeter,Fluke Clamp,Checked Out,Out
,APM336,Ammeter,Fluke Clamp,Checked Out,Out
,APM337,Ammeter,Fluke Clamp,Checked Out,Out
,APM338,Ammeter,Fluke Clamp,Checked Out,Out
,APM339,Ammeter,Fluke Clamp,Available,Secondary
,APM340,Ammeter,Fluke Clamp,Checked Out,Out
,APM341,Ammeter,Fluke Clamp,Checked Out,Out
,APM342,Ammeter,Fluke Clamp,Available,Primary
,APM343,Ammeter,Fluke Clamp,Checked Out,Out
,APM344,Ammeter,Fluke Clamp,Checked Out,Out
,APM345,Ammeter,Fluke Clamp,Available,Secondary
,APM346,Ammeter,Fluke Clamp,Available,Primary
,APM347,Ammeter,Fluke Clamp,Available,Primary
,APM348,Ammeter,Fluke Clamp,Checked Out,Out
,APM349,Ammeter,Fluke Clamp,Checked Out,Out
,APM350,Ammeter,Fluke Clamp,Checked Out,Out
,APM351,Ammeter,Fluke Clamp,Available,Primary
,APM352,Ammeter,Fluke Clamp,Checked Out,Out
,APM353,Ammeter,Fluke Clamp,Checked Out,Out
,APM354,Ammeter,Fluke Clamp,Checked Out,Out
,APM355,Ammeter,Fluke Clamp,Checked Out,Out
,APM356,Ammeter,Fluke Clamp,Available,Secondary
,APM357,Ammeter,Fluke Clamp,Checked Out,Out
,APM358,Ammeter,Fluke Clamp,Checked Out,Out
,APM359,Ammeter,Fluke Clamp,Checked Out,Out
,APM360,Ammeter,Fluke Clamp,Checked Out,Out
,APM361,Ammeter,Fluke Clamp,Checked Out,Out
,APM362,Ammeter,Fluke Clamp,Available,Secondary
,APM363,Ammeter,Fluke Clamp,Available,Primary
,APM364,Ammeter,Fluke Clamp,Available,Secondary
,APM365,Ammeter,Fluke Clamp,Checked Out,Out
,APM366,Ammeter,Fluke Clamp,Available,Primary
,APM367,Ammeter,Fluke Clamp,Available,Primary
,APM368,Ammeter,Fluke Clamp,Checked Out,Out
,APM369,Ammeter,Fluke Clamp,Checked Out,Out
,APM370,Ammeter,Fluke Clamp,Checked Out,Out
,APM371,Ammeter,Fluke Clamp,Available,Primary
,APM372,Ammeter,Fluke Clamp,Available,Primary
,APM373,Ammeter,Fluke Clamp,Available,Secondary
,APM374,Ammeter,Fluke Clamp,Available,Primary
,APM375,Ammeter,Fluke Clamp,Checked Out,Out
,APM376,Ammeter,Fluke Clamp,Available,Primary
,APM377,Ammeter,Fluke Clamp,Available,Secondary
,APM378,Ammeter,Fluke Clamp,Checked Out,Out
,APM379,Ammeter,Fluke Clamp,Checked Out,Out
,APM380,Ammeter,Fluke Clamp,Available,Secondary
,APM381,Ammeter,Fluke Clamp,Available,Primary
,APM382,Ammeter,Fluke Clamp,Checked Out,Out
,APM383,Ammeter,Fluke Clamp,Checked Out,Out
,APM384,Ammeter,Fluke Clamp,Checked Out,Out
,APM385,Ammeter,Fluke Clamp,Available,Secondary
,APM386,Ammeter,Fluke Clamp,Available,Secondary
,APM387,Ammeter,Fluke Clamp,Available,Primary
,APM388,Ammeter,Fluke Clamp,Available,Primary
,APM389,Ammeter,Fluke Clamp,Checked Out,Out
,APM390,Ammeter,Fluke Clamp,Checked Out,Out
,APM391,Ammeter,Fluke Clamp,Available,Primary
,APM392,Ammeter,Fluke Clamp,Available,Secondary
,APM393,Ammeter,Fluke Clamp,Checked Out,Out
,APM394,Ammeter,Fluke Clamp,Checked Out,Out
,APM395,Ammeter,Fluke Clamp,Available,Primary
,APM396,Ammeter,Fluke Clamp,Available,Primary
,APM397,Ammeter,Fluke Clamp,Available,Secondary
,APM398,Ammeter,Fluke Clamp,Checked Out,Out
,APM399,Ammeter,Fluke Clamp,Available,Secondary
,APM400,Ammeter,Fluke Clamp,Checked Out,Out
,APM401,Ammeter,Fluke Clamp,Available,Primary
,APM402,Ammeter,Fluke Clamp,Available,Primary
,APM403,Ammeter,Fluke Clamp,Available,Secondary
,APM404,Ammeter,Fluke Clamp,Checked Out,Out
,APM405,Ammeter,Fluke Clamp,Checked Out,Out
,APM406,Ammeter,Fluke Clamp,Available,Secondary
,APM407,Ammeter,Fluke Clamp,Checked Out,Out
,APM408,Ammeter,Fluke Clamp,Checked Out,Out
,APM409,Ammeter,Fluke Clamp,Checked Out,Out
,APM410,Ammeter,Fluke Clamp,Checked Out,Out
,APM411,Ammeter,Fluke Clamp,Checked Out,Out
,APM412,Ammeter,Fluke Clamp,Checked Out,Out
,APM413,Ammeter,Fluke Clamp,Checked Out,Out
,APM414,Ammeter,Fluke Clamp,Checked Out,Out
,APM415,Ammeter,Fluke Clamp,Checked Out,Out
,APM416,Ammeter,Fluke Clamp,Available,Primary
,APM417,Ammeter,Fluke Clamp,Available,Primary
,APM418,Ammeter,Fluke Clamp,Available,Secondary
,APM419,Ammeter,Fluke Clamp,Available,Primary
,APM420,Ammeter,Fluke Clamp,Checked Out,Out
,APM421,Ammeter,Fluke Clamp,Checked Out,Out
,APM422,Ammeter,Fluke Clamp,Available,Secondary
,APM423,Ammeter,Fluke Clamp,Available,Secondary
,APM424,Ammeter,Fluke Clamp,Checked Out,Out
,APM425,Ammeter,Fluke Clamp,Checked Out,Out
,APM426,Ammeter,Fluke Clamp,Checked Out,Out
,APM427,Ammeter,Fluke Clamp,Available,Primary
,APM428,Ammeter,Fluke Clamp,Available,Primary
,APM429,Ammeter,Fluke Clamp,Checked Out,Out
,APM430,Ammeter,Fluke Clamp,Checked Out,Out
,APM431,Ammeter,Fluke Clamp,Checked Out,Out
,APM432,Ammeter,Fluke Clamp,Available,Secondary
,APM433,Ammeter,Fluke Clamp,Checked Out,Out
,APM434,Ammeter,Fluke Clamp,Available,Primary
,APM435,Ammeter,Fluke Clamp,Available,Secondary
,APM436,Ammeter,Fluke Clamp,Checked Out,Out
,APM437,Ammeter,Fluke Clamp,Available,Secondary
,APM438,Ammeter,Fluke Clamp,Available,Secondary
,APM439,Ammeter,Fluke Clamp,Checked Out,Out
,APM440,Ammeter,Fluke Clamp,Checked Out,Out
,APM441,Ammeter,Fluke Clamp,Checked Out,Out
,APM442,Ammeter,Fluke Clamp,Checked Out,Out
,APM443,Ammeter,Fluke Clamp,Available,Primary
,APM444,Ammeter,Fluke Clamp,Available,Secondary
,APM445,Ammeter,Fluke Clamp,Available,Primary
,APM446,Ammeter,Fluke Clamp,Available,Primary
,APM447,Ammeter,Fluke Clamp,Checked Out,Out
,APM448,Ammeter,Fluke Clamp,Available,Primary
,APM449,Ammeter,Fluke Clamp,Checked Out,Out
,APM450,Ammeter,Fluke Clamp,Checked Out,Out
,APM451,Ammeter,Fluke Clamp,Checked Out,Out
,APM452,Ammeter,Fluke Clamp,Checked Out,Out
,APM453,Ammeter,Fluke Clamp,Checked Out,Out
,APM454,Ammeter,Fluke Clamp,Available,Secondary
,APM455,Ammeter,Fluke Clamp,Checked Out,Out
,APM456,Ammeter,Fluke Clamp,Available,Primary
,APM457,Ammeter,Fluke Clamp,Available,Primary
,APM458,Ammeter,Fluke Clamp,Available,Secondary
,APM459,Ammeter,Fluke Clamp,Checked Out,Out
,APM460,Ammeter,Fluke Clamp,Checked Out,Out
,APM461,Ammeter,Fluke Clamp,Checked Out,Out
,APM462,Ammeter,Fluke Clamp,Available,Primary
,APM463,Ammeter,Fluke Clamp,Available,Secondary
,APM464,Ammeter,Fluke Clamp,Checked Out,Out
,APM465,Ammeter,Fluke Clamp,Available,Primary
,APM466,Ammeter,Fluke Clamp,Checked Out,Out
,APM467,Ammeter,Fluke Clamp,Checked Out,Out
,APM468,Ammeter,Fluke Clamp,Checked Out,Out
,APM469,Ammeter,Fluke Clamp,Checked Out,Out
,APM470,Ammeter,Fluke Clamp,Checked Out,Out
,APM471,Ammeter,Fluke Clamp,Available,Primary
,APM472,Ammeter,Fluke Clamp,Available,Primary
,APM473,Ammeter,Fluke Clamp,Checked Out,Out
,APM474,Ammeter,Fluke Clamp,Available,Secondary
,APM475,Ammeter,Fluke Clamp,Available,Primary
,APM476,Ammeter,Fluke Clamp,Checked Out,Out
,APM477,Ammeter,Fluke Clamp,Checked Out,Out
,APM478,Ammeter,Fluke Clamp,Checked Out,Out
,APM479,Ammeter,Fluke Clamp,Available,Primary
,APM480,Ammeter,Fluke Clamp,Checked Out,Out
,APM481,Ammeter,Fluke Clamp,Available,Primary
,APM482,Ammeter,Fluke Clamp,Available,Secondary
,APM483,Ammeter,Fluke Clamp,Checked Out,Out
,APM484,Ammeter,Fluke Clamp,Checked Out,Out
,APM485,Ammeter,Fluke Clamp,Available,Secondary
,APM486,Ammeter,Fluke Clamp,Available,Primary
,APM487,Ammeter,Fluke Clamp,Checked Out,Out
,APM488,Ammeter,Fluke Clamp,Available,Primary
,APM489,Ammeter,Fluke Clamp,Available,Primary
,APM490,Ammeter,Fluke Clamp,Available,Primary
,APM491,Ammeter,Fluke Clamp,Checked Out,Out
,APM492,Ammeter,Fluke Clamp,Checked Out,Out
,APM493,Ammeter,Fluke Clamp,Checked Out,Out
,APM494,Ammeter,Fluke Clamp,Available,Primary
,APM495,Ammeter,Fluke Clamp,Available,Primary
,APM496,Ammeter,Fluke Clamp,Checked Out,Out
,APM497,Ammeter,Fluke Clamp,Available,Secondary
,APM498,Ammeter,Fluke Clamp,Available,Primary
,APM499,Ammeter,Fluke Clamp,Available,Secondary
,APM500,Ammeter,Fluke Clamp,Checked Out,Out
,APM501,Ammeter,Fluke Clamp,Available,Secondary
,APM502,Ammeter,Fluke Clamp,Checked Out,Out
,APM503,Ammeter,Fluke Clamp,Available,Primary
,APM504,Ammeter,Fluke Clamp,Checked Out,Out
,APM505,Ammeter,Fluke Clamp,Available,Primary
,APM506,Ammeter,Fluke Clamp,Checked Out,Out
,APM507,Ammeter,Fluke Clamp,Available,Secondary
,APM508,Ammeter,Fluke Clamp,Checked Out,Out
,APM509,Ammeter,Fluke Clamp,Checked Out,Out
,APM510,Ammeter,Fluke Clamp,Checked Out,Out
,APM511,Ammeter,Fluke Clamp,Checked Out,Out
,APM512,Ammeter,Fluke Clamp,Checked Out,Out
,APM513,Ammeter,Fluke Clamp,Available,Primary
,APM514,Ammeter,Fluke Clamp,Checked Out,Out
,APM515,Ammeter,Fluke Clamp,Available,Secondary
,APM516,Ammeter,Fluke Clamp,Available,Primary
,APM517,Ammeter,Fluke Clamp,Available,Primary
,APM518,Ammeter,Fluke Clamp,Available,Primary
,APM519,Ammeter,Fluke Clamp,Checked Out,Out
,APM520,Ammeter,Fluke Clamp,Available,Secondary
,APM521,Ammeter,Fluke Clamp,Available,Secondary
,APM522,Ammeter,Fluke Clamp,Checked Out,Out
,APM523,Ammeter,Fluke Clamp,Available,Primary
,APM524,Ammeter,Fluke Clamp,Checked Out,Out
,APM525,Ammeter,Fluke Clamp,Available,Secondary
,APM526,Ammeter,Fluke Clamp,Checked Out,Out
,APM527,Ammeter,Fluke Clamp,Available,Secondary
,APM528,Ammeter,Fluke Clamp,Checked Out,Out
,APM529,Ammeter,Fluke Clamp,Available,Primary
,APM530,Ammeter,Fluke Clamp,Available,Primary
,APM531,Ammeter,Fluke Clamp,Checked Out,Out
,APM532,Ammeter,Fluke Clamp,Checked Out,Out
,APM533,Ammeter,Fluke Clamp,Available,Secondary
,APM534,Ammeter,Fluke Clamp,Checked Out,Out
,APM535,Ammeter,Fluke Clamp,Checked Out,Out
,APM536,Ammeter,Fluke Clamp,Checked Out,Out
,APM537,Ammeter,Fluke Clamp,Checked Out,Out
,APM538,Ammeter,Fluke Clamp,Available,Secondary
,APM539,Ammeter,Fluke Clamp,Checked Out,Out
,APM540,Ammeter,Fluke Clamp,Checked Out,Out
,APM541,Ammeter,Fluke Clamp,Checked Out,Out
,APM542,Ammeter,Fluke Clamp,Available,Secondary
,APM543,Ammeter,Fluke Clamp,Checked Out,Out
,APM544,Ammeter,Fluke Clamp,Checked Out,Out
,APM545,Ammeter,Fluke Clamp,Available,Secondary
,APM546,Ammeter,Fluke Clamp,Available,Secondary
,APM547,Ammeter,Fluke Clamp,Checked Out,Out
,APM548,Ammeter,Fluke Clamp,Checked Out,Out
,APM549,Ammeter,Fluke Clamp,Available,Secondary
,APM550,Ammeter,Fluke Clamp,Checked Out,Out
,APM551,Ammeter,Fluke Clamp,Checked Out,Out
,APM552,Ammeter,Fluke Clamp,Available,Primary
,APM553,Ammeter,Fluke Clamp,Checked Out,Out
,APM554,Ammeter,Fluke Clamp,Checked Out,Out
,APM555,Ammeter,Fluke Clamp,Checked Out,Out
,APM556,Ammeter,Fluke Clamp,Available,Secondary
,APM557,Ammeter,Fluke Clamp,Checked Out,Out
,APM558,Ammeter,Fluke Clamp,Checked Out,Out
,APM559,Ammeter,Fluke Clamp,Available,Primary
,APM560,Ammeter,Fluke Clamp,Checked Out,Out
,APM561,Ammeter,Fluke Clamp,Checked Out,Out
,APM562,Ammeter,Fluke Clamp,Checked Out,Out
,APM563,Ammeter,Fluke Clamp,Checked Out,Out
,APM564,Ammeter,Fluke Clamp,Checked Out,Out
,APM565,Ammeter,Fluke Clamp,Checked Out,Out
,APM566,Ammeter,Fluke Clamp,Available,Primary
,APM567,Ammeter,Fluke Clamp,Available,Secondary
,APM568,Ammeter,Fluke Clamp,Available,Primary
,APM569,Ammeter,Fluke Clamp,Available,Primary
,APM570,Ammeter,Fluke Clamp,Available,Primary
